Applicant #:,,,,,"Reviewers must complete all sections highlighted yellow. The scoresheet will auto-calculate the section points and total score. Any graded section receiving a ""0"" or overall impression section receiving a ""No"" will fail the entire paper, regardless of total score. Once review is complete, all scores and comments must be entered directly into Prolydian.",,,,
Summary Title:,,,,,,,,,
Section,Weighted percent,Points awarded    (0-4),Total points ,Total possible points for section,Comments:  (Reviewers must provide written comments in this column for each graded section)  ,,,,
Title,2.5,,0,10,,,,,
Introduction,5,,0,20,,,,,
Treatment/Mgmt/Prognosis,20,,0,80,,,,,
Case History/Presentation,20,,0,80,,,,,
Case Management and Outcome,20,,0,80,,,,,
Discussion,25,,0,100,,,,,
References & Endnotes,2.5,,0,10,,,,,
Lab data & Imaging,5,,0,20,,,,,
Overall impressions - A (Case management commensurate with ABVP diplomate level of practice),Yes/No,,,Need a YES in this section or entire CS fails,,,,,
Overall impressions - B       (Case presentation is professional with minimal errors and succinctly communicates all relevant case information)   ,Yes/No,,,Need a YES in this section or entire CS fails,,,,,
Total Score,,,0,400,,,,,
,,,,0.0%,,,,,
,,,,,,,,,
Reviewer Initials:,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
